28/12/2016;450;A;PYG;0,00056890;0,00056960;5753,86000000;5760,35000000
28/12/2016;460;A;UAH;0,12160000;0,12210000;26,85000000;26,95000000
28/12/2016;470;A;JPY;0,02784000;0,02786000;117,64000000;117,69000000
28/12/2016;482;A;GEL;1,22270000;1,24140000;2,64000000;2,68000000
28/12/2016;490;A;ALL;0,02517000;0,02535000;129,30000000;130,20000000
28/12/2016;495;A;HNL;0,14020000;0,14080000;23,28000000;23,38000000
28/12/2016;500;A;SLL;0,00058750;0,00059830;5478,00000000;5578,00000000
28/12/2016;503;A;MDL;0,16430000;0,16510000;19,85000000;19,95000000
28/12/2016;506;A;RON;0,74940000;0,75030000;4,36790000;4,37270000
28/12/2016;510;A;BGN;1,74100000;1,74160000;1,88180000;1,88210000
28/12/2016;530;B;GIP;4,02750000;4,02860000;1,22910000;1,22920000
28/12/2016;535;A;EGP;0,17480000;0,17670000;18,55000000;18,75000000
28/12/2016;540;B;GBP;3,99840000;4,00010000;1,22020000;1,22050000
28/12/2016;545;B;FKP;4,02720000;4,03120000;1,22900000;1,23000000
28/12/2016;560;A;LBP;0,00216900;0,00217700;1505,50000000;1510,50000000
28/12/2016;570;B;SHP;3,99930000;4,00660000;1,22050000;1,22250000
28/12/2016;575;A;SYP;0,00635500;0,00636400;515,00000000;515,60000000
28/12/2016;585;A;SZL;0,23610000;0,23650000;13,86000000;13,88000000
28/12/2016;603;A;LSL;0,23610000;0,23650000;13,86000000;13,88000000
28/12/2016;608;A;TMT;0,93640000;0,93920000;3,48950000;3,49950000
28/12/2016;622;A;MZN;0,04527000;0,04619000;70,96000000;72,38000000
28/12/2016;625;A;ERN;0,20770000;0,21450000;15,28000000;15,78000000
28/12/2016;630;A;NGN;0,01073000;0,01077000;304,25000000;305,25000000
28/12/2016;635;A;AOA;0,01969000;0,01985000;165,07600000;166,42600000
28/12/2016;640;A;TWD;0,10120000;0,10130000;32,34500000;32,37600000
28/12/2016;642;A;TRY;0,92450000;0,92520000;3,54250000;3,54450000
28/12/2016;660;A;PEN;0,97350000;0,97450000;3,36300000;3,36600000
28/12/2016;665;A;BTN;0,04802000;0,04803000;68,23500000;68,24500000
28/12/2016;670;A;MRO;0,00905200;0,00920600;356,00000000;362,00000000
28/12/2016;680;B;TOP;1,42440000;1,52630000;0,43470000;0,46570000
28/12/2016;685;A;MOP;0,40970000;0,41050000;7,98300000;7,99800000
28/12/2016;706;A;ARS;0,21100000;0,21130000;15,51000000;15,52900000
28/12/2016;715;A;CLP;0,00486400;0,00486800;673,20000000;673,66000000
28/12/2016;720;A;COP;0,00108500;0,00108700;3015,41000000;3019,51000000
28/12/2016;725;A;CUP;3,27680000;3,27740000;1,00000000;1,00000000
28/12/2016;730;A;DOP;0,07027000;0,07082000;46,28000000;46,63000000
28/12/2016;735;A;PHP;0,06568000;0,06571000;49,87400000;49,89400000
28/12/2016;741;A;MXN;0,15780000;0,15800000;20,74620000;20,75930000
28/12/2016;745;A;UYU;0,11570000;0,11590000;28,28000000;28,33000000
28/12/2016;755;B;BWP;0,30340000;0,30410000;0,09260000;0,09280000
28/12/2016;760;A;MWK;0,00454500;0,00457800;715,90000000;720,90000000
28/12/2016;766;A;ZMW;0,33320000;0,33390000;9,81500000;9,83500000
